序号,固定名字,稀有度,描述,基础价格
1,丘丘人射手,普通,生活在提瓦特大陆的常见魔物，能够使用简陋的弓箭进行远程攻击。,0.35
2,史莱姆,普通,元素生物，提瓦特大陆最常见的魔物之一，形态简单但具有元素特性。,0.25
3,哥布林,普通,奇幻世界中常见的低等魔物，群体行动但个体战斗力较弱。,0.18
4,僵尸,普通,亡灵生物，行动缓慢但数量众多，常见于黑暗地区。,0.42
5,骷髅兵,普通,由亡灵魔法召唤的骷髅战士，使用简单的武器进行攻击。,0.31
6,蝙蝠,普通,洞穴中常见的飞行生物，视力差但依靠声波定位。,0.12
7,狼,普通,森林中的群居掠食者，擅长团队协作捕猎。,0.27
8,野猪,普通,常见的野生动物，受到威胁时会用獠牙进行冲撞攻击。,0.22
9,普通士兵,普通,人类军队的基础单位，装备标准制式武器和盔甲。,0.38
10,农民,普通,从事农业生产的平民，战斗力有限但熟悉当地地形。,0.15
11,鱼人,普通,水陆两栖的亚人种族，通常群体生活在海岸线附近。,0.33
12,小恶魔,普通,低阶恶魔，体型较小但狡猾，喜欢恶作剧。,0.29
13,黏土魔像,普通,由魔法制造的简易构装体，执行简单的守护任务。,0.45
14,大老鼠,普通,受到魔力影响而体型增大的啮齿动物，攻击性较强。,0.16
15,腐化乌鸦,普通,被黑暗力量侵蚀的鸟类，会主动攻击路过的生物。,0.21
16,狗头人,普通,小型类人生物，喜欢挖掘洞穴并收集闪亮物品。,0.24
17,藤蔓怪,普通,植物类魔物，能够利用藤蔓缠绕并束缚猎物。,0.32
18,毒蜘蛛,普通,带有剧毒的节肢动物，擅长布置陷阱等待猎物。,0.26
19,幽灵,普通,低等的灵体生物，物理攻击效果有限但惧怕光明。,0.37
20,木乃伊,普通,经过防腐处理的尸骸，行动缓慢但防御力较高。,0.41
21,蜥蜴人,普通,半人半蜥的亚人种族，适应各种恶劣环境。,0.34
22,小妖精,普通,森林中的魔法生物，体型微小但擅长自然魔法。,0.28
23,食人花,普通,肉食性植物，用鲜艳的花朵吸引猎物然后突然袭击。,0.36
24,冰晶虫,普通,寒冰环境中的昆虫，能够释放低温冻气。,0.19
25,火元素微粒,普通,火元素的低阶表现形式，温度不高但易燃。,0.23
26,泥怪,普通,由淤泥和杂质组成的软体生物，能够分裂重组。,0.30
27,石像鬼,普通,建筑物的守护石像，在夜间会活动起来攻击入侵者。,0.44
28,海盗喽啰,普通,海上劫掠者的底层成员，武器简陋但悍不畏死。,0.40
29,兽人苦工,普通,兽人社会的最底层，从事繁重的体力劳动。,0.17
30,魔化家畜,普通,被黑暗魔法影响的普通动物，性情变得暴躁。,0.20
31,骷髅弓箭手,普通,使用弓箭的骷髅战士，远程攻击精准但防御脆弱。,0.39
32,穴居人,普通,长期生活在地下的原始人类，视力退化但听觉灵敏。,0.31
33,飞龙幼崽,普通,未成年的小型飞龙，只会简单的喷吐攻击。,0.47
34,水元素小精灵,普通,水元素的初级形态，能够操控少量水分。,0.25
35,风之精灵,普通,风元素的低级化身，移动迅速但攻击力不足。,0.28
36,雷萤,普通,能够释放微弱电流的发光昆虫，夜间活跃。,0.22
37,沼泽鳄鱼,普通,沼泽地区的掠食者，擅长伏击靠近水边的生物。,0.35
38,地精工程师,普通,地精种族的技术人员，擅长制造不稳定的爆炸物。,0.42
39,腐尸,普通,刚刚复活的亡灵生物，肉体尚未完全腐烂。,0.33
40,石甲虫,普通,甲壳覆盖着岩石的昆虫，防御力远超同类。,0.38
41,魔法学徒,普通,魔法学习的初级阶段，只能施展简单的戏法。,0.29
42,盗贼学徒,普通,初出茅庐的小偷，手法生疏容易被发现。,0.26
43,民兵,普通,临时征召的平民武装，缺乏正规训练。,0.21
44,小树人,普通,刚刚获得生命的树木幼苗，移动缓慢但扎根后防御增强。,0.30
45,熔岩蟹,普通,生活在火山地区的甲壳类生物，外壳能够耐受高温。,0.41
46,寒冰蝙蝠,普通,变异蝙蝠品种，能够释放冷气冻结目标。,0.34
47,沙漠蝎子,普通,沙漠中的节肢动物，尾部毒刺具有神经毒素。,0.32
48,丛林毒蛙,普通,色彩鲜艳的两栖动物，皮肤分泌致命毒素。,0.27
49,女巫猫,普通,女巫饲养的宠物猫，具有一定的魔法抗性。,0.23
50,石像兵,普通,古代魔法文明留下的自动守卫，动作刻板但力量强大。,0.46
51,魔法史莱姆,普通,吸收了魔法能量的史莱姆，体内蕴含不稳定魔力。,0.37
52,骷髅法师,普通,保留了生前部分魔法记忆的骷髅，能够施展初级魔法。,0.43
53,矮人矿工,普通,擅长挖掘矿脉的矮人，熟悉地下环境。,0.36
54,幽灵船水手,普通,幽灵船上的船员亡灵，永远在海上漂泊。,0.40
55,变异蘑菇,普通,受到辐射或魔法影响的真菌，会喷射孢子攻击。,0.24
56,岩浆史莱姆,普通,生活在火山区域的史莱姆变种，体内充满岩浆。,0.44
57,冰霜史莱姆,普通,寒冰地区的史莱姆变种，能够降低周围温度。,0.39
58,雷史莱姆,普通,带电的史莱姆变种，接触会造成电击伤害。,0.41
59,风史莱姆,普通,轻飘飘的史莱姆变种，能够短暂漂浮在空中。,0.35
60,岩史莱姆,普通,外壳坚硬的史莱姆变种，防御力较强。,0.42
61,毒史莱姆,普通,体内含有毒素的史莱姆变种，接触会中毒。,0.38
62,彩虹史莱姆,普通,罕见的史莱姆变种，体内蕴含多种元素能量。,0.49
63,小恶魔巫师,普通,掌握了初级魔法的小恶魔，危险性比普通小恶魔更高。,0.45
64,兽人战士,普通,兽人部落的普通战士，使用粗糙的武器作战。,0.47
65,娜迦奴隶,普通,娜迦社会的最底层，从事各种苦役。,0.32
66,鱼人先知,普通,鱼人部落的萨满，能够祈求微弱的水之力量。,0.39
67,机械侏儒,普通,侏儒科技的初级造物，能够执行简单指令。,0.43
68,骷髅骑士,普通,骑着骷髅马的骷髅战士，机动性比普通骷髅更高。,0.48
69,亡灵巫师学徒,普通,学习亡灵魔法的初学者，只能操控最低级的亡灵。,0.37
70,德鲁伊学徒,普通,自然之道的入门者，只能进行简单的变形。,0.34
71,圣骑士侍从,普通,圣骑士的随从，正在学习圣光之道。,0.36
72,刺客新手,普通,刺客组织的入门成员，掌握基础暗杀技巧。,0.33
73,狂战士见习,普通,狂战士训练营的新人，尚未完全掌握狂暴技巧。,0.35
74,游侠学徒,普通,学习追踪和射击技巧的年轻人，箭术有待提高。,0.31
75,吟游诗人学员,普通,音乐学院的学生，能够演奏简单的鼓舞乐曲。,0.28
76,炼金术士助手,普通,炼金大师的助手，负责准备基础材料和清洁实验室。,0.30
